fund_slug,description
alpacavc,Investment activities in Belgium (BE). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: alpacavc.
alpacavc,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: alpacavc.
ritcapitalpartners,"Investment activities in Hong Kong (HK). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), Others (50.0%). Associated fund: ritcapitalpartners."
ritcapitalpartners,Investment activities in Germany (DE). Normal investments: 1. Lead investments: 0. Main sectors: Social (100.0%). Associated fund: ritcapitalpartners.
ritcapitalpartners,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: ritcapitalpartners.
hightechgrund,Investment activities in Belgium (BE). Normal investments: 1. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: hightechgrund.
hightechgrund,"Investment activities in Germany (DE). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), DeFi (50.0%). Associated fund: hightechgrund."
hightechgrund,Investment activities in Austria (AT). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: hightechgrund.
saasventures,"Investment activities in United States (US). Normal investments: 3. Lead investments: 1. Main sectors: CeFi (75.0%), DeFi (25.0%). Associated fund: saasventures."
almoracapital,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: almoracapital.
almoracapital,Investment activities in Thailand (TH). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: almoracapital.
alsarainvest,Investment activities in Germany (DE). Normal investments: 1. Lead investments: 0. Main sectors: Social (100.0%). Associated fund: alsarainvest.
alsarainvest,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: alsarainvest.
bakshcapital,"Investment activities in Singapore (SG). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), CeFi (50.0%). Associated fund: bakshcapital."
capitaltvc,Investment activities in Netherlands (NL). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: capitaltvc.
capitaltvc,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: capitaltvc.
fortino-capital,Investment activities in Belgium (BE). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: fortino-capital.
fortino-capital,Investment activities in Netherlands (NL). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: fortino-capital.
hashigovc,Investment activities in Germany (DE). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: hashigovc.
hashigovc,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: hashigovc.
imecistart,Investment activities in Belgium (BE). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: imecistart.
angelesinvestors,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: angelesinvestors.
nextcoastvc,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: nextcoastvc.
nphardventures,Investment activities in Netherlands (NL). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: nphardventures.
presighcapital,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: presighcapital.
presighcapital,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: presighcapital.
cross-tower,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: cross-tower.
guggenheimmuseum,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: guggenheimmuseum.
perezartmuseum,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: perezartmuseum.
hillrisecapital,"Investment activities in Canada (CA). Normal investments: 2. Lead investments: 0. Main sectors: GameFi (50.0%), DeFi (50.0%). Associated fund: hillrisecapital."
hillrisecapital,Investment activities in Australia (AU). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: hillrisecapital.
hillrisecapital,Investment activities in India (IN). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: hillrisecapital.
hillrisecapital,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: hillrisecapital.
hillrisecapital,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: hillrisecapital.
whaleshark,Investment activities in Australia (AU). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: whaleshark.
whaleshark,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: whaleshark.
companyventures,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: NFT (50.0%), CeFi (50.0%). Associated fund: companyventures."
invescoprivatecap,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), CeFi (50.0%). Associated fund: invescoprivatecap."
khariscapital,Investment activities in Australia (AU). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: khariscapital.
khariscapital,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: khariscapital.
panoramic-ventures,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), CeFi (50.0%). Associated fund: panoramic-ventures."
pjcvc,"Investment activities in United States (US). Normal investments: 4. Lead investments: 0. Main sectors: CeFi (75.0%), GameFi (25.0%). Associated fund: pjcvc."
trinitycapital,Investment activities in Canada (CA). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: trinitycapital.
trinitycapital,Investment activities in United States (US). Normal investments: 0. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: trinitycapital.
bluewatchvc,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: bluewatchvc.
boldcapital,Investment activities in United States (US). Normal investments: 1. Lead investments: 2. Main sectors: CeFi (100.0%). Associated fund: boldcapital.
fiatventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: fiatventures.
fircapital,Investment activities in Argentina (AR). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: fircapital.
gccfund,Investment activities in United States (US). Normal investments: 0. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: gccfund.
lightbank,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: lightbank.
melangeventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: melangeventures.
tfxcapital,Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: tfxcapital.
blockchainvv,Investment activities in Switzerland (CH). Normal investments: 2. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: blockchainvv.
blockchainvv,"Investment activities in United Kingdom (GB). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), Blockchain Infrastructure (50.0%). Associated fund: blockchainvv."
blockchainvv,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: blockchainvv.
maveron,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), NFT (50.0%). Associated fund: maveron."
maveron,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: maveron.
3iq,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: 3iq.
blackfinchvc,Investment activities in United Kingdom (GB). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: blackfinchvc.
defiresearch,Investment activities in France (FR). Normal investments: 1. Lead investments: 0. Main sectors: Social (100.0%). Associated fund: defiresearch.
goldstreetvc,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: goldstreetvc.
italianangelsfg,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: italianangelsfg.
mavennet,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: mavennet.
nufund-venture-group,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: nufund-venture-group.
swan-venture-fund,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: swan-venture-fund.
juncapital,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: juncapital.
juncapital,Investment activities in Israel (IL). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: juncapital.
juncapital,Investment activities in Liechtenstein (LI). Normal investments: 0. Lead investments: 1. Main sectors: DeFi (100.0%). Associated fund: juncapital.
juncapital,Investment activities in San Marino (SM). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: juncapital.
juncapital,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: Chain (100.0%). Associated fund: juncapital.
juncapital,Investment activities in Ukraine (UA). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: juncapital.
crossfund,Investment activities in Nigeria (NG). Normal investments: 0. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: crossfund.
firstfounders,Investment activities in Nigeria (NG). Normal investments: 0. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: firstfounders.
lovelacecorp,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: lovelacecorp.
playnity,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: playnity.
thehuslcorp,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: thehuslcorp.
unizencorp,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: unizencorp.
21shares,Investment activities in Turkey (TR). Normal investments: 1. Lead investments: 0. Main sectors: Stablecoin (100.0%). Associated fund: 21shares.
21shares,Investment activities in UAE (AE). Normal investments: 0. Lead investments: 1. Main sectors: DeFi (100.0%). Associated fund: 21shares.
21shares,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: 21shares.
blockwater-capital,Investment activities in India (IN). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: blockwater-capital.
blockwater-capital,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: blockwater-capital.
blockwater-capital,Investment activities in British Virgin Islands (VG). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: blockwater-capital.
svb-capital,"Investment activities in United States (US). Normal investments: 3. Lead investments: 2. Main sectors: Blockchain Service (60.0%), CeFi (40.0%). Associated fund: svb-capital."
tenonetenvc,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: NFT (50.0%), CeFi (50.0%). Associated fund: tenonetenvc."
blockdeskvc,Investment activities in Germany (DE). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: blockdeskvc.
dreamcapital,Investment activities in Singapore (SG). Normal investments: 0. Lead investments: 1. Main sectors: NFT (100.0%). Associated fund: dreamcapital.
elaiavc,Investment activities in France (FR). Normal investments: 0. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: elaiavc.
finberg,Investment activities in Turkey (TR). Normal investments: 1. Lead investments: 0. Main sectors: Stablecoin (100.0%). Associated fund: finberg.
halls-investments,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: halls-investments.
hedgue,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: hedgue.
mixmob,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: mixmob.
seven-20,Investment activities in Austria (AT). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: seven-20.
sparkfund,Investment activities in United States (US). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: sparkfund.
valleyventurecap,Investment activities in Spain (ES). Normal investments: 0. Lead investments: 1. Main sectors: DeFi (100.0%). Associated fund: valleyventurecap.
synaps,"Investment activities in Germany (DE). Normal investments: 3. Lead investments: 0. Main sectors: NFT (66.67%), DeFi (33.33%). Associated fund: synaps."
synaps,"Investment activities in United States (US). Normal investments: 1. Lead investments: 1. Main sectors: Blockchain Service (50.0%), Blockchain Infrastructure (50.0%). Associated fund: synaps."
synaps,Investment activities in France (FR). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: synaps.
synaps,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: synaps.
synaps,Investment activities in UAE (AE). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: synaps.
femaleff,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), NFT (50.0%). Associated fund: femaleff."
nextchymia,Investment activities in Norway (NO). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: nextchymia.
nextchymia,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: nextchymia.
geekventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: geekventures.
nautacapital,Investment activities in Germany (DE). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: nautacapital.
nh-investment,Investment activities in United States (US). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: nh-investment.
oktaventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: oktaventures.
ukrainiansf,Investment activities in United States (US). Normal investments: 0. Lead investments: 1. Main sectors: NFT (100.0%). Associated fund: ukrainiansf.
wiedenkennedy,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: wiedenkennedy.
dcm-ventures,"Investment activities in United States (US). Normal investments: 8. Lead investments: 1. Main sectors: CeFi (55.56%), Social (22.22%), DeFi (11.11%). Associated fund: dcm-ventures."
dcm-ventures,Investment activities in China (CN). Normal investments: 0. Lead investments: 1. Main sectors: Social (100.0%). Associated fund: dcm-ventures.
dcm-ventures,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: Others (100.0%). Associated fund: dcm-ventures.
kinetic-capital,"Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: Chain (66.67%), Blockchain Service (33.33%). Associated fund: kinetic-capital."
kinetic-capital,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Chain (100.0%). Associated fund: kinetic-capital.
eidetic-ventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: eidetic-ventures.
fitz-gate,Investment activities in United States (US). Normal investments: 1. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: fitz-gate.
lightshed-ventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: lightshed-ventures.
propel-x,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: propel-x.
redstart-labs,Investment activities in India (IN). Normal investments: 0. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: redstart-labs.
star-x,Investment activities in South Korea (KR). Normal investments: 0. Lead investments: 1. Main sectors: NFT (100.0%). Associated fund: star-x.
fatimagobivc,Investment activities in United Kingdom (GB). Normal investments: 0. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: fatimagobivc.
qi-capital,"Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: DeFi (66.67%), GameFi (33.33%). Associated fund: qi-capital."
telstra-ventures,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Infrastructure (50.0%), CeFi (50.0%). Associated fund: telstra-ventures."
voodoo-ventures,Investment activities in India (IN). Normal investments: 1. Lead investments: 0. Main sectors: Chain (100.0%). Associated fund: voodoo-ventures.
voodoo-ventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: voodoo-ventures.
abstraction-ventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: abstraction-ventures.
invicta-growth,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: invicta-growth.
sopris-capital,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: sopris-capital.
staderlabs,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: staderlabs.
stony-lonesome,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: stony-lonesome.
veteran-ventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: veteran-ventures.
gtcapital,Investment activities in South Korea (KR). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: gtcapital.
gtcapital,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: gtcapital.
gtcapital,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: gtcapital.
gtcapital,Investment activities in British Virgin Islands (VG). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: gtcapital.
definitive-capital,Investment activities in France (FR). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: definitive-capital.
definitive-capital,Investment activities in Greece (GR). Normal investments: 1. Lead investments: 0. Main sectors: Social (100.0%). Associated fund: definitive-capital.
definitive-capital,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: definitive-capital.
definitive-capital,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: definitive-capital.
time-ventures,"Investment activities in United States (US). Normal investments: 4. Lead investments: 0. Main sectors: Blockchain Service (25.0%), Currency (25.0%), NFT (25.0%). Associated fund: time-ventures."
broadlight,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: broadlight.
DreamCrew,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: DreamCrew.
horseshoecap,Investment activities in France (FR). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: horseshoecap.
innoangelfund,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: innoangelfund.
plus-capital,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: plus-capital.
forerunnervc,"Investment activities in United States (US). Normal investments: 4. Lead investments: 0. Main sectors: CeFi (50.0%), Blockchain Service (25.0%), NFT (25.0%). Associated fund: forerunnervc."
100-acre,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: 100-acre.
edbi,Investment activities in Philippines (PH). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: edbi.
first-pacific,Investment activities in Philippines (PH). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: first-pacific.
ifc-asset-management-company,Investment activities in Philippines (PH). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: ifc-asset-management-company.
international-finance-corporation,Investment activities in Philippines (PH). Normal investments: 4. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: international-finance-corporation.
kirkbi,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Others (100.0%). Associated fund: kirkbi.
pldt,Investment activities in Philippines (PH). Normal investments: 5. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: pldt.
pattern-research,"Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: Social (33.33%), DeFi (33.33%), CeFi (33.33%). Associated fund: pattern-research."
pattern-research,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: pattern-research.
dash-fund,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Social (100.0%). Associated fund: dash-fund.
vng-corporation,Investment activities in South Korea (KR). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: vng-corporation.
hunt-ventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: hunt-ventures.
golden-ventures,"Investment activities in Canada (CA). Normal investments: 4. Lead investments: 1. Main sectors: Blockchain Service (40.0%), GameFi (40.0%), CeFi (20.0%). Associated fund: golden-ventures."
golden-ventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: golden-ventures.
luge-capital,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: luge-capital.
luge-capital,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: luge-capital.
olivexai,Investment activities in Singapore (SG). Normal investments: 0. Lead investments: 1. Main sectors: GameFi (100.0%). Associated fund: olivexai.
olivexai,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: olivexai.
advent,Investment activities in United States (US). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: advent.
harvest-ventures,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: harvest-ventures.
nabventures,Investment activities in India (IN). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: nabventures.
nrj,Investment activities in France (FR). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: nrj.
paipal-ventures,Investment activities in India (IN). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: paipal-ventures.
rokaworks,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Social (100.0%). Associated fund: rokaworks.
trace-africa,Investment activities in France (FR). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: trace-africa.
cboe-global,"Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (66.67%), CeFi (33.33%). Associated fund: cboe-global."
coti,Investment activities in Germany (DE). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: coti.
coti,Investment activities in Ireland (IE). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: coti.
coti,Investment activities in Israel (IL). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: coti.
ffg-venture,"Investment activities in Japan (JP). Normal investments: 2. Lead investments: 0. Main sectors: Social (50.0%), CeFi (50.0%). Associated fund: ffg-venture."
gp-capital,Investment activities in China (CN). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: gp-capital.
gp-capital,Investment activities in Japan (JP). Normal investments: 1. Lead investments: 0. Main sectors: Social (100.0%). Associated fund: gp-capital.
5y-capital,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: 5y-capital.
gold-house,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: gold-house.
oriza-ventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: oriza-ventures.
seetee,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: seetee.
white-bay,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: white-bay.
startingline,"Investment activities in United States (US). Normal investments: 3. Lead investments: 1. Main sectors: CeFi (75.0%), Blockchain Service (25.0%). Associated fund: startingline."
startingline,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: startingline.
sugar-capital,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: sugar-capital.
starry-night,Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: starry-night.
wisconsin-investment,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: wisconsin-investment.
kenzo-ventures,Investment activities in Seychelles (SC). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: kenzo-ventures.
teoh-capital,Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: teoh-capital.
digital-horizon,Investment activities in Estonia (EE). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: digital-horizon.
digital-horizon,Investment activities in Spain (ES). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: digital-horizon.
hypesalt,Investment activities in South Korea (KR). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: hypesalt.
pala,Investment activities in South Korea (KR). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: pala.
snow,Investment activities in South Korea (KR). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: snow.
vr-ventures,Investment activities in Estonia (EE). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: vr-ventures.
general-global,"Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (33.33%), CeFi (33.33%), Others (33.33%). Associated fund: general-global."
kane-rao-group,Investment activities in India (IN). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: kane-rao-group.
kane-rao-group,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: Chain (100.0%). Associated fund: kane-rao-group.
blockfills,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: Chain (100.0%). Associated fund: blockfills.
ndn2-vision-fund,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: ndn2-vision-fund.
nukkleus,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: Chain (100.0%). Associated fund: nukkleus.
