Category,Question,YAKE Keywords,Severity Score,Variations
Cybersecurity,"Does the project conduct periodic penetration tests or red-team exercises, and are results used to improve security posture?",,,"['Is the project conduct periodic penetration tests or red-team exercises, and are results used to improve security posture?']"
Cybersecurity,Which hardware security modules (HSMs) or other secure key management systems are used for private key custody?,,,['Which hardware security modules (HSMs) or other secure key management systems are used for private key custody?']
Cybersecurity,"Are bug bounty programs in place to incentivize ethical hacking, and how does the team respond to reported vulnerabilities?",,,"['Are bug bounty programs in place to incentivize ethical hacking, and how does the team respond to reported vulnerabilities?']"
Cybersecurity,"What is the process for managing zero-day exploits or critical vulnerabilities (e.g. crisis response teams, hotfix protocols)?",,,"['Define the process for managing zero-day exploits or critical vulnerabilities (e.g. crisis response teams, hotfix protocols)?']"
Cybersecurity,"Is multi-factor authentication (MFA) mandatory for all administrators, developers, and high-privilege accounts?",,,"['Is multi-factor authentication (MFA) mandatory for all administrators, developers, and high-privilege accounts?']"
Cybersecurity,"How is physical security addressed in data centres, hardware wallets, or any colocation facilities?",,,"['How is physical security addressed in data centres, hardware wallets, or any colocation facilities?']"
Cybersecurity,"Does the project follow any well-known security frameworks (ISO 27001, NIST Cybersecurity Framework, etc.) for best practices?",,,"['Is the project follow any well-known security frameworks (ISO 27001, NIST Cybersecurity Framework, etc.) for best practices?']"
Auditability,"Which audit firms or reputable third-party organizations have been engaged, and what was the scope of each audit?",,,"['Which audit firms or reputable third-party organizations have been engaged, and what was the scope of each audit?']"
Auditability,Does the project publicly share cryptographic proof of reserves or on-chain attestations for asset ownership?,,,['Is the project publicly share cryptographic proof of reserves or on-chain attestations for asset ownership?']
Auditability,"How are compliance audits (like SOC 1/2 or ISAE 3402) handled, and are their results disclosed to stakeholders?",,,"['How are compliance audits (like SOC 1/2 or ISAE 3402) handled, and are their results disclosed to stakeholders?']"
Auditability,Are transaction histories and logs easily accessible and verifiable on-chain for transparency?,,,['Are transaction histories and logs easily accessible and verifiable on-chain for transparency?']
Auditability,"Are token holders or governing bodies empowered to request or approve special audits (e.g., for treasury activities)?",,,"['Are token holders or governing bodies empowered to request or approve special audits (e.g., for treasury activities)?']"
Auditability,"In cases of asset tokenization, how does the project legally ensure that on-chain ownership matches real-world rights?",,,"['In cases of asset tokenization, how does the project legally ensure that on-chain ownership matches real-world rights?']"
Auditability,"How frequently is environmental, social and governance (esg) evaluated or updated, and by whom?",,,"['How frequently is environmental, social and governance (esg) evaluated or updated, and by whom?', 'How frequently is revenue model evaluated or updated, and by whom?', 'How frequently is network design evaluated or updated, and by whom?', 'How frequently is audit and ownership evaluated or updated, and by whom?', 'How frequently is aml/kyc evaluated or updated, and by whom?', 'How frequently is transparency evaluated or updated, and by whom?', 'How frequently is data integrity evaluated or updated, and by whom?', 'How frequently is tokenomics evaluated or updated, and by whom?', 'How frequently is governance and operational security evaluated or updated, and by whom?', 'How frequently is people and entity evaluated or updated, and by whom?']"
Cybersecurity,What are the biggest risks currently facing the project's strategic partnerships practices?,,,"[""What are the biggest risks currently facing the project's strategic partnerships practices?"", ""What are the biggest risks currently facing the project's revenue model practices?"", ""What are the biggest risks currently facing the project's endpoint security practices?"", ""What are the biggest risks currently facing the project's threat intelligence practices?"", ""What are the biggest risks currently facing the project's network design practices?"", ""What are the biggest risks currently facing the project's securities analysis practices?"", ""What are the biggest risks currently facing the project's audit and ownership practices?"", ""What are the biggest risks currently facing the project's smart contract risk practices?"", ""What are the biggest risks currently facing the project's aml/kyc practices?"", ""What are the biggest risks currently facing the project's transparency practices?"", ""What are the biggest risks currently facing the project's proof-of-reserves practices?"", ""What are the biggest risks currently facing the project's protocol scalability practices?"", ""What are the biggest risks currently facing the project's regulatory reporting practices?"", ""What are the biggest risks currently facing the project's interoperability practices?"", ""What are the biggest risks currently facing the project's privacy compliance practices?"", ""What are the biggest risks currently facing the project's data integrity practices?"", ""What are the biggest risks currently facing the project's tokenomics practices?"", ""What are the biggest risks currently facing the project's people and entity practices?"", ""What are the biggest risks currently facing the project's financial metrics practices?"", ""What are the biggest risks currently facing the project's attack mitigation practices?"", ""What are the biggest risks currently facing the project's treasury management practices?"", ""What are the biggest risks currently facing the project's disaster recovery practices?""]"
Legal and Compliance,How does the project benchmark its media and community perception performance against industry standards?,,,"['In what way does the project benchmark its media and community perception performance against industry standards?', 'In what way does the project benchmark its valuation and forecasting performance against industry standards?', 'In what way does the project benchmark its threat intelligence performance against industry standards?', 'In what way does the project benchmark its network design performance against industry standards?', 'In what way does the project benchmark its securities analysis performance against industry standards?', 'In what way does the project benchmark its audit and ownership performance against industry standards?', 'In what way does the project benchmark its smart contract risk performance against industry standards?', 'In what way does the project benchmark its aml/kyc performance against industry standards?', 'In what way does the project benchmark its transparency performance against industry standards?', 'In what way does the project benchmark its upgrades and maintenance performance against industry standards?', 'In what way does the project benchmark its licensing and jurisdiction performance against industry standards?', 'In what way does the project benchmark its proof-of-reserves performance against industry standards?', 'In what way does the project benchmark its protocol scalability performance against industry standards?', 'In what way does the project benchmark its regulatory reporting performance against industry standards?', 'In what way does the project benchmark its on-chain traceability performance against industry standards?', 'In what way does the project benchmark its interoperability performance against industry standards?', 'In what way does the project benchmark its privacy compliance performance against industry standards?', 'In what way does the project benchmark its data integrity performance against industry standards?', 'In what way does the project benchmark its tokenomics performance against industry standards?', 'In what way does the project benchmark its people and entity performance against industry standards?', 'In what way does the project benchmark its financial metrics performance against industry standards?', 'In what way does the project benchmark its attack mitigation performance against industry standards?', 'In what way does the project benchmark its treasury management performance against industry standards?', 'In what way does the project benchmark its disaster recovery performance against industry standards?', 'In what way does the project benchmark its strategic partnerships performance against industry standards?', 'In what way does the project benchmark its revenue model performance against industry standards?', 'In what way does the project benchmark its endpoint security performance against industry standards?']"
Legal and Compliance,"Is there independent oversight or review over the network design process? If so, by which entities?",,,"['Is there independent oversight or review over the network design process? If so, by which entities?', 'Is there independent oversight or review over the securities analysis process? If so, by which entities?', 'Is there independent oversight or review over the audit and ownership process? If so, by which entities?', 'Is there independent oversight or review over the smart contract risk process? If so, by which entities?', 'Is there independent oversight or review over the aml/kyc process? If so, by which entities?', 'Is there independent oversight or review over the transparency process? If so, by which entities?', 'Is there independent oversight or review over the upgrades and maintenance process? If so, by which entities?', 'Is there independent oversight or review over the licensing and jurisdiction process? If so, by which entities?', 'Is there independent oversight or review over the proof-of-reserves process? If so, by which entities?', 'Is there independent oversight or review over the protocol scalability process? If so, by which entities?', 'Is there independent oversight or review over the regulatory reporting process? If so, by which entities?', 'Is there independent oversight or review over the on-chain traceability process? If so, by which entities?', 'Is there independent oversight or review over the interoperability process? If so, by which entities?', 'Is there independent oversight or review over the privacy compliance process? If so, by which entities?', 'Is there independent oversight or review over the data integrity process? If so, by which entities?', 'Is there independent oversight or review over the tokenomics process? If so, by which entities?', 'Is there independent oversight or review over the governance and operational security process? If so, by which entities?', 'Is there independent oversight or review over the people and entity process? If so, by which entities?', 'Is there independent oversight or review over the financial metrics process? If so, by which entities?', 'Is there independent oversight or review over the attack mitigation process? If so, by which entities?', 'Is there independent oversight or review over the environmental, social and governance (esg) process? If so, by which entities?', 'Is there independent oversight or review over the treasury management process? If so, by which entities?', 'Is there independent oversight or review over the disaster recovery process? If so, by which entities?', 'Is there independent oversight or review over the strategic partnerships process? If so, by which entities?', 'Is there independent oversight or review over the revenue model process? If so, by which entities?', 'Is there independent oversight or review over the endpoint security process? If so, by which entities?', 'Is there independent oversight or review over the media and community perception process? If so, by which entities?', 'Is there independent oversight or review over the valuation and forecasting process? If so, by which entities?', 'Is there independent oversight or review over the threat intelligence process? If so, by which entities?']"
Legal and Compliance,What tools or frameworks does the team use to manage smart contract risk effectively?,,,"['What tools or frameworks does the team use to manage smart contract risk effectively?', 'What tools or frameworks does the team use to manage aml/kyc effectively?', 'What tools or frameworks does the team use to manage transparency effectively?', 'What tools or frameworks does the team use to manage upgrades and maintenance effectively?', 'What tools or frameworks does the team use to manage licensing and jurisdiction effectively?', 'What tools or frameworks does the team use to manage proof-of-reserves effectively?', 'What tools or frameworks does the team use to manage protocol scalability effectively?', 'What tools or frameworks does the team use to manage regulatory reporting effectively?', 'What tools or frameworks does the team use to manage on-chain traceability effectively?', 'What tools or frameworks does the team use to manage interoperability effectively?', 'What tools or frameworks does the team use to manage privacy compliance effectively?', 'What tools or frameworks does the team use to manage data integrity effectively?', 'What tools or frameworks does the team use to manage tokenomics effectively?', 'What tools or frameworks does the team use to manage governance and operational security effectively?', 'What tools or frameworks does the team use to manage people and entity effectively?', 'What tools or frameworks does the team use to manage financial metrics effectively?', 'What tools or frameworks does the team use to manage attack mitigation effectively?', 'What tools or frameworks does the team use to manage environmental, social and governance (esg) effectively?', 'What tools or frameworks does the team use to manage treasury management effectively?', 'What tools or frameworks does the team use to manage disaster recovery effectively?', 'What tools or frameworks does the team use to manage strategic partnerships effectively?', 'What tools or frameworks does the team use to manage revenue model effectively?', 'What tools or frameworks does the team use to manage endpoint security effectively?', 'What tools or frameworks does the team use to manage media and community perception effectively?', 'What tools or frameworks does the team use to manage valuation and forecasting effectively?', 'What tools or frameworks does the team use to manage threat intelligence effectively?', 'What tools or frameworks does the team use to manage network design effectively?', 'What tools or frameworks does the team use to manage securities analysis effectively?', 'What tools or frameworks does the team use to manage audit and ownership effectively?']"
Auditability,Have there been any reported issues or audits related to upgrades and maintenance in the past 12 months?,,,"['Have there been any reported issues or audits related to upgrades and maintenance in the past 12 months?', 'Have there been any reported issues or audits related to licensing and jurisdiction in the past 12 months?', 'Have there been any reported issues or audits related to proof-of-reserves in the past 12 months?', 'Have there been any reported issues or audits related to protocol scalability in the past 12 months?', 'Have there been any reported issues or audits related to regulatory reporting in the past 12 months?', 'Have there been any reported issues or audits related to on-chain traceability in the past 12 months?', 'Have there been any reported issues or audits related to interoperability in the past 12 months?', 'Have there been any reported issues or audits related to privacy compliance in the past 12 months?', 'Have there been any reported issues or audits related to data integrity in the past 12 months?', 'Have there been any reported issues or audits related to tokenomics in the past 12 months?', 'Have there been any reported issues or audits related to governance and operational security in the past 12 months?', 'Have there been any reported issues or audits related to people and entity in the past 12 months?', 'Have there been any reported issues or audits related to financial metrics in the past 12 months?', 'Have there been any reported issues or audits related to attack mitigation in the past 12 months?', 'Have there been any reported issues or audits related to environmental, social and governance (esg) in the past 12 months?', 'Have there been any reported issues or audits related to treasury management in the past 12 months?', 'Have there been any reported issues or audits related to disaster recovery in the past 12 months?', 'Have there been any reported issues or audits related to strategic partnerships in the past 12 months?', 'Have there been any reported issues or audits related to revenue model in the past 12 months?', 'Have there been any reported issues or audits related to endpoint security in the past 12 months?', 'Have there been any reported issues or audits related to media and community perception in the past 12 months?', 'Have there been any reported issues or audits related to valuation and forecasting in the past 12 months?', 'Have there been any reported issues or audits related to threat intelligence in the past 12 months?', 'Have there been any reported issues or audits related to network design in the past 12 months?', 'Have there been any reported issues or audits related to securities analysis in the past 12 months?', 'Have there been any reported issues or audits related to audit and ownership in the past 12 months?', 'Have there been any reported issues or audits related to smart contract risk in the past 12 months?', 'Have there been any reported issues or audits related to aml/kyc in the past 12 months?', 'Have there been any reported issues or audits related to transparency in the past 12 months?']"
Auditability,How does the team prioritize improvements and risk mitigation for protocol scalability?,,,"['In what way does the team prioritize improvements and risk mitigation for protocol scalability?', 'In what way does the team prioritize improvements and risk mitigation for regulatory reporting?', 'In what way does the team prioritize improvements and risk mitigation for on-chain traceability?', 'In what way does the team prioritize improvements and risk mitigation for interoperability?', 'In what way does the team prioritize improvements and risk mitigation for privacy compliance?', 'In what way does the team prioritize improvements and risk mitigation for data integrity?', 'In what way does the team prioritize improvements and risk mitigation for tokenomics?', 'In what way does the team prioritize improvements and risk mitigation for governance and operational security?', 'In what way does the team prioritize improvements and risk mitigation for people and entity?', 'In what way does the team prioritize improvements and risk mitigation for financial metrics?', 'In what way does the team prioritize improvements and risk mitigation for attack mitigation?', 'In what way does the team prioritize improvements and risk mitigation for environmental, social and governance (esg)?', 'In what way does the team prioritize improvements and risk mitigation for treasury management?', 'In what way does the team prioritize improvements and risk mitigation for disaster recovery?', 'In what way does the team prioritize improvements and risk mitigation for strategic partnerships?', 'In what way does the team prioritize improvements and risk mitigation for revenue model?', 'In what way does the team prioritize improvements and risk mitigation for endpoint security?', 'In what way does the team prioritize improvements and risk mitigation for media and community perception?', 'In what way does the team prioritize improvements and risk mitigation for valuation and forecasting?', 'In what way does the team prioritize improvements and risk mitigation for threat intelligence?', 'In what way does the team prioritize improvements and risk mitigation for network design?', 'In what way does the team prioritize improvements and risk mitigation for securities analysis?', 'In what way does the team prioritize improvements and risk mitigation for audit and ownership?', 'In what way does the team prioritize improvements and risk mitigation for smart contract risk?', 'In what way does the team prioritize improvements and risk mitigation for aml/kyc?', 'In what way does the team prioritize improvements and risk mitigation for transparency?', 'In what way does the team prioritize improvements and risk mitigation for upgrades and maintenance?', 'In what way does the team prioritize improvements and risk mitigation for licensing and jurisdiction?', 'In what way does the team prioritize improvements and risk mitigation for proof-of-reserves?']"
Cybersecurity,"How frequently is treasury management evaluated or updated, and by whom?",,,"['How frequently is treasury management evaluated or updated, and by whom?', 'How frequently is endpoint security evaluated or updated, and by whom?']"
Cybersecurity,"How frequently is disaster recovery evaluated or updated, and by whom?",,,"['How frequently is disaster recovery evaluated or updated, and by whom?', 'How frequently is interoperability evaluated or updated, and by whom?']"
Reputational and Strategic,"How frequently is strategic partnerships evaluated or updated, and by whom?",,,"['How frequently is strategic partnerships evaluated or updated, and by whom?']"
Reputational and Strategic,"How frequently is media and community perception evaluated or updated, and by whom?",,,"['How frequently is media and community perception evaluated or updated, and by whom?']"
Cybersecurity,"How frequently is threat intelligence evaluated or updated, and by whom?",,,"['How frequently is threat intelligence evaluated or updated, and by whom?', 'How frequently is upgrades and maintenance evaluated or updated, and by whom?']"
Legal and Compliance,"How frequently is securities analysis evaluated or updated, and by whom?",,,"['How frequently is securities analysis evaluated or updated, and by whom?']"
Legal and Compliance,What are the biggest risks currently facing the project's licensing and jurisdiction practices?,,,"[""What are the biggest risks currently facing the project's licensing and jurisdiction practices?""]"
Legal and Compliance,"How frequently is licensing and jurisdiction evaluated or updated, and by whom?",,,"['How frequently is licensing and jurisdiction evaluated or updated, and by whom?']"
Auditability,"How frequently is proof-of-reserves evaluated or updated, and by whom?",,,"['How frequently is proof-of-reserves evaluated or updated, and by whom?']"
Auditability,What are the biggest risks currently facing the project's on-chain traceability practices?,,,"[""What are the biggest risks currently facing the project's on-chain traceability practices?""]"
Legal and Compliance,"How frequently is regulatory reporting evaluated or updated, and by whom?",,,"['How frequently is regulatory reporting evaluated or updated, and by whom?']"
Cybersecurity,How does the project benchmark its governance and operational security performance against industry standards?,,,"['In what way does the project benchmark its governance and operational security performance against industry standards?', 'In what way does the project benchmark its environmental, social and governance (esg) performance against industry standards?']"
Auditability,"How frequently is on-chain traceability evaluated or updated, and by whom?",,,"['How frequently is on-chain traceability evaluated or updated, and by whom?']"
Cybersecurity,What are the biggest risks currently facing the project's governance and operational security practices?,,,"[""What are the biggest risks currently facing the project's governance and operational security practices?"", ""What are the biggest risks currently facing the project's environmental, social and governance (esg) practices?""]"
